Age,Gender,Current Occupation,Monthly income salary or allowance,How often do you shop for groceries in a month?,How much do you spend on groceries every month?,What grocery stores do you usually buy your necessities from? (Select all that apply),What primary factors do you find important in a  grocery store? (Select all that apply),What payment methods do you use in paying for groceries? (Select all that apply),Among the following when do you usually take a trip to the grocery store?,What would be the duration that you typically spend in a grocery store?,Which among the following products and goods do you usually buy? (Select all that apply),Which section of a grocery store do you spend the most time during a typical visit? (Select all that apply),Which section of a grocery store do you spend the least time during a typical visit? (Select all that apply),Which products do you usually forget when you go grocery shopping? (Select all that apply),Should there be a designated area for sampling new products in the store?,Should there be a designated area for products that have discounts and promotions?,Where should checkout counters be placed at?,Would you like express checkout lanes for customers with limited number of items?,Do you use baggage counters at the groceries you go at to leave your baggage?
18-24,Male,Student,"Below ₱10,957",Twice a week,"Less than ₱5,000","SaveMore, Victoria Supermarket, SM Supermarket","Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items",Cash,Morning (6:00 AM - 10:00 AM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs",Toilet Paper,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Employed (part-time),"₱21,914 to ₱43,828",Rarely,"Less than ₱5,000","Robinsons Supermarket, SaveMore, Puregold, Tiongsan Supermarket","Quality: Ensuring freshness and good quality products, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Large Space: The grocery have a big space or layout","Cash, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Evening (4:00 PM - 8:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Beverages: Soft drinks, juices, water, and alcoholic beverages","Milk, Eggs, Condiments, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Student,"₱10,957 to ₱21,914",Rarely,"Less than ₱5,000","Robinsons Supermarket, SaveMore, Victoria Supermarket, Puregold, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Brand Loyalty: Preferring specific brands or stores, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items, Specialty Items: Unique or specialty products, Large Space: The grocery have a big space or layout",Cash,Afternoon (12:00 PM - 4:00 PM),15-30 minutes,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods, Specialty Sections: Ethnic foods, organic products, and gluten-free items",Cleaning Supplies,"No, integrate sampling throughout the store","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Victoria Supermarket, Puregold, Tiongsan Supermarket, 5 Cent up Supermarket","Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products",Cash,Late Morning (10:00 AM - 12:00 PM),15-30 minutes,"Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Snacks: Chips, cookies, nuts, and snacks, Health & Wellness: Vitamins, supplements, and health foods","Bread, Condiments, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location."
18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Victoria Supermarket, Puregold","Convenience: Easy access to essential items, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Cleanliness: Well-maintained and organized store, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks","Household Supplies: Cleaning products, toiletries, and paper goods","Toilet Paper, Cheese, Coffee, Spices, Condiments, Toiletries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location."
18-24,Male,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","SaveMore, Tiongsan Supermarket, 5 Cent up Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Location: Proximity to home or workplace",Cash,Evening (4:00 PM - 8:00 PM),Less than 15 minutes,"Bakery: Bread, pastries, and baked goods, Snacks: Chips, cookies, nuts, and snacks, Health & Wellness: Vitamins, supplements, and health foods, Household Supplies: Cleaning products, toiletries, and paper goods","Bakery: Bread, pastries, and baked goods, Health & Wellness: Vitamins, supplements, and health foods","Snacks: Chips, cookies, nuts, and snacks",Cleaning Supplies,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Robinsons Supermarket, SaveMore, Sunshine Supermarket, Victoria Supermarket, Puregold, C and Triple A Supermarket, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Health Preferences: Seeking organic, healthy, or specific dietary products, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment","Cash, Debit Card, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Bread, Toilet Paper, Spices","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",In a centralized location for easy visibility,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","SaveMore, Sunshine Supermarket, Puregold, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Variety: Having a wide selection of products to choose from",Cash,Evening (4:00 PM - 8:00 PM),I don't keep track of time,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Health & Wellness: Vitamins, supplements, and health foods","Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Snacks: Chips, cookies, nuts, and snacks","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats",Condiments,"Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Male,Student,"Below ₱10,957",Once a week,"₱5,000 - ₱10,000","Robinsons Supermarket, SaveMore, Puregold, SM Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Quality: Ensuring freshness and good quality products, Location: Proximity to home or workplace, Product Quality: Fresh and high-quality items","Cash, Debit Card",Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Deli/Meat: Cold cuts, cheeses, and meats, Frozen Foods: Frozen meals, ice cream, and frozen vegetables","Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Milk, Snacks, Condiments","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Close to the exit for convenience,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location."
18-24,Female,Student,"Below ₱10,957",Once a week,"Less than ₱5,000","Robinsons Supermarket, Victoria Supermarket, SM Supermarket, Tiongsan Supermarket","Convenience: Easy access to essential items, Price: Finding good deals and discounts, Cleanliness: Well-maintained and organized store, Customer Service: Friendly and helpful staff, Product Quality: Fresh and high-quality items, Store Atmosphere: Pleasant shopping environment, Large Space: The grocery have a big space or layout","Cash, Mobile Payment Apps (GCash, Paymaya, GoTyme, and others)",Late Morning (10:00 AM - 12:00 PM),30 minutes to 1 hour,"Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Bakery: Bread, pastries, and baked goods","Coffee, Condiments, Batteries","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Sometimes, depending on the situation or location."
18-24,Male,Student,"Below ₱10,957",Rarely,"Less than ₱5,000","SaveMore, SM Supermarket","Convenience: Easy access to essential items, Quality: Ensuring freshness and good quality products, Variety: Having a wide selection of products to choose from, Location: Proximity to home or workplace, Brand Loyalty: Preferring specific brands or stores, Cleanliness: Well-maintained and organized store",Cash,Afternoon (12:00 PM - 4:00 PM),30 minutes to 1 hour,"Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Household Supplies: Cleaning products, toiletries, and paper goods","Snacks: Chips, cookies, nuts, and snacks","Fresh Produce: Fruits, vegetables, and fresh herbs","Coffee, Cleaning Supplies","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Strategically throughout the store to reduce congestion,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
18-24,Female,Student,"₱76,669 to ₱131,484",Once a week,"Less than ₱5,000","Puregold, Tiongsan Supermarket","Price: Finding good deals and discounts, Location: Proximity to home or workplace, Large Space: The grocery have a big space or layout","Cash, Digital Wallets",Afternoon (12:00 PM - 4:00 PM),1-2 hours,"Bakery: Bread, pastries, and baked goods, Dairy: Milk, cheese, yogurt, and eggs, Frozen Foods: Frozen meals, ice cream, and frozen vegetables, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Bakery: Bread, pastries, and baked goods, Pantry Staples: Canned goods, grains, pasta, and sauces, Snacks: Chips, cookies, nuts, and snacks, Beverages: Soft drinks, juices, water, and alcoholic beverages, Household Supplies: Cleaning products, toiletries, and paper goods","Fresh Produce: Fruits, vegetables, and fresh herbs, Deli/Meat: Cold cuts, cheeses, and meats, Health & Wellness: Vitamins, supplements, and health foods, Specialty Sections: Ethnic foods, organic products, and gluten-free items","Bread, Toilet Paper, Coffee","Yes, create a dedicated sampling station","Yes, create a dedicated sale or clearance section",Near the entrance for quick access,"Yes, introduce a dedicated express lane","Yes, I use baggage counters to leave my baggage."
